,client_id,report_date,bucketRatio1,bucketRatio2,bucketRatio3,invested_amount,total_upl
139,17,2021-02-05,0.6120391018092841,0.21747622799743097,98.23719623035684,340899787.910961,733850.4000000001
140,17,2021-02-12,0.612039101809284,0.2174762279974309,98.23719623035684,340899787.91096103,726555.0000000001
141,17,2021-02-19,0.612039101809284,0.2174762279974309,98.23719623035682,340899787.91096103,720140.0999999999
142,17,2021-02-26,0.6122020654672296,0.21753413397357832,98.2367268600998,340809042.91096103,646308.0000000013
143,17,2021-03-05,0.6034252355036721,0.21441545762004677,98.24087207223204,345766116.03896093,606365.4000000001
144,17,2021-03-12,0.6039492451308005,0.2146016542810205,98.23934445967085,345466116.03896093,601663.5000000002
145,17,2021-03-19,0.6040724770917413,0.2146454423689954,98.23898520922629,345395640.27896106,610151.7
146,17,2021-03-26,0.6040724770917414,0.21464544236899546,98.23898520922633,345395640.27896094,607748.7000000003
147,17,2021-04-02,0.6360265875177968,0.22599971595041995,98.14583138543811,328042890.17896104,598373.1000000002
148,17,2021-04-09,0.6360265875177971,0.22599971595041998,98.14583138543811,328042890.178961,626001.3
149,17,2021-04-16,0.6360265875177968,0.22599971595041995,98.14583138543809,328042890.17896104,644242.2
150,17,2021-04-23,0.6360265875177971,0.22599971595041998,98.14583138543811,328042890.178961,664590.6000000002
151,17,2021-04-30,0.6345054022645508,0.17056749870618476,98.1370372557728,328829351.57896096,655092.0000000008
152,17,2021-05-07,0.6341197191033252,0.17046381950681383,98.13816965489478,329029351.578961,682579.8000000002
153,17,2021-05-14,0.6341197191033252,0.17046381950681383,98.1381696548948,329029351.578961,660798.0
154,17,2021-05-21,0.6246796858703051,0.1679261533963082,98.16588640900689,334001576.67896104,665655.3000000003
155,17,2021-05-28,0.6246796858703051,0.1679261533963082,98.16588640900693,334001576.67896104,689430.9000000003
156,17,2021-06-04,0.6232766508910916,0.1675489900716972,98.17000584106502,334753435.254961,694514.1000000002
157,17,2021-06-11,0.6232766508910916,0.1675489900716972,98.170005841065,334753435.254961,729443.9999999999
158,17,2021-06-18,0.6232766508910917,0.16754899007169724,98.17000584106503,334753435.25496095,709448.1000000001
159,17,2021-06-25,0.6231464755786142,0.16751399639415984,98.14950240784961,334823365.254961,714090.2999999999
160,17,2021-07-02,0.6242225066684154,0.1678032546587269,98.14630702278559,334246198.704961,698495.0999999999
161,17,2021-07-09,0.6242225066684153,0.16780325465872686,98.14630702278558,334246198.70496106,694976.0999999999
162,17,2021-07-16,0.6242225066684154,0.16780325465872692,98.1463070227856,334246198.70496094,718106.7000000004
163,17,2021-07-23,0.6242225066684154,0.1678032546587269,98.14630702278559,334246198.704961,698898.3000000003
164,17,2021-07-30,0.6237913383862087,0.16768734816659153,98.14758742137454,334477231.664961,650750.9999999753
165,17,2021-08-06,0.6163744330879356,0.23954833822425423,98.09575788529673,338502035.12616104,673199.7000000001
166,17,2021-08-13,0.6196695541855632,0.24082895718054328,98.08557785830288,336702035.126161,674033.4
167,17,2021-08-20,0.6207757710294206,0.24125887833307091,98.08216028517042,336102035.126161,680241.0000000002
168,17,2021-08-27,0.6212564220686074,0.24144567900409508,98.06877511143594,335842001.126161,698263.4999999995
169,17,2021-09-03,0.6198883525331181,0.24091399117570828,98.03143339253769,336583191.38824755,708222.0000000005
170,17,2021-09-10,0.6198883525331181,0.24091399117570825,98.03143339253769,336583191.3882476,709845.9
171,17,2021-09-17,0.6198883525331181,0.24091399117570825,98.03143339253769,336583191.3882476,689941.5000000001
172,17,2021-09-24,0.6198883525331181,0.24091399117570825,98.03143339253768,336583191.3882476,642152.3999999998
173,17,2021-10-01,0.6128064317309913,0.16473438977567123,98.12735057886272,340472927.8226476,585514.8
174,17,2021-10-08,0.6116342817971867,0.16441929288035065,97.93965677943483,341125417.9326475,492542.9999999997
175,17,2021-10-15,0.6116342817971865,0.16441929288035065,97.9396567794348,341125417.9326476,478901.4
176,17,2021-10-22,0.6116342817971865,0.16441929288035065,97.9396567794348,341125417.9326476,485136.3000000001
177,17,2021-10-29,0.6105217023539268,0.10560910005884176,97.97265430249664,341747065.16664755,478416.0000000624
178,17,2021-11-05,0.6309457003218176,0.1055873979623831,97.95252145416444,341817306.7666476,449937.2999999999
179,17,2021-11-12,0.6309457003218176,0.1055873979623831,97.95252145416444,341817306.7666476,447616.5000000004
180,17,2021-11-19,0.6308485231934148,0.10557113558017765,97.93743498198488,341869960.9666476,464431.20000000007
181,17,2021-11-26,0.6308485231934149,0.10557113558017767,97.93743498198488,341869960.96664757,395140.2
182,17,2021-12-03,0.4549999337491816,0.10508476863969719,98.15481885403531,343452247.8109726,214438.80000000002
183,17,2021-12-10,0.49276972808581737,0.10504489692241564,98.11757652826506,343582611.41097254,250516.20000000013
184,17,2021-12-17,0.49276972808581737,0.10504489692241563,98.11757652826506,343582611.4109726,241281.6
185,17,2021-12-24,0.4923355452568313,0.10495234113435316,98.03112445030206,343885611.41097254,240834.90000000008
186,17,2021-12-31,0.4981454147661584,0.1061908448592282,98.0078904788083,339874873.8447726,247581.3000000073
187,17,2022-01-07,0.4981454147661584,0.1061908448592282,98.00789047880826,339874873.8447726,201824.6999999998
188,17,2022-01-14,0.4981454147661584,0.1061908448592282,98.0078904788083,339874873.8447726,150345.30000000005
189,17,2022-01-21,0.4981454147661584,0.1061908448592282,98.0078904788083,339874873.8447726,146781.30000000005
190,17,2022-01-28,0.4981454147661584,0.1061908448592282,98.0078904788083,339874873.8447726,115485.89999999995
191,17,2022-02-04,0.49533810531359634,0.046727760475189936,97.99606271238144,341801101.4775704,98666.39999999995
192,17,2022-02-11,0.49533810531359623,0.04672776047518993,97.99606271238142,341801101.4775705,64230.90000000006
193,17,2022-02-18,0.49533810531359634,0.046727760475189936,97.99606271238144,341801101.4775704,40198.49999999998
194,17,2022-02-25,0.49533810531359623,0.04672776047518993,97.99606271238144,341801101.4775705,-31329.30000000002
195,17,2022-03-04,0.4921048194286997,0.04642274818811461,97.9679855335209,344046843.91539603,-169694.09999999995
196,17,2022-03-11,0.4921048194286997,0.04642274818811461,97.96798553352093,344046843.91539603,-207446.40000000005
197,17,2022-03-18,0.4921048194286997,0.04642274818811461,97.96798553352093,344046843.91539603,-164778.59999999995
198,9,2020-10-30,4.137251645720587,4.740409945499772,75.03004865827117,48470398.687381,-80146.66356300074
199,9,2020-11-06,4.102007447012801,4.7000275940302005,75.24276134828169,48886853.407381,-16156.086782999917
200,9,2020-11-13,4.091180494134859,4.687622210094915,75.30810629456289,49016228.207380995,433.77503700018855
201,9,2020-11-20,4.099883755036054,4.697594294963618,75.25557866998827,48912176.22738099,31068.580856999386
202,9,2020-11-27,4.109675212521523,4.708813221540893,75.19648334828362,48795641.10738101,47746.46633699933
203,9,2020-12-04,4.108514724549851,4.634239496903374,75.27673140493506,48809423.887380995,47570.41901699966
204,9,2020-12-11,3.9823494196353915,3.5709828508751444,76.95688701604675,50355761.28738099,64292.31632699934
205,9,2020-12-18,3.8140171896123634,3.420038912179569,77.93090968119417,52578220.48738099,78117.20117699936
206,9,2020-12-25,3.828163377118252,3.4327238344869184,77.8490554382231,52383928.527381,72587.2472369992
207,9,2021-01-01,3.8265213922252053,3.4312514624580968,77.85855647377309,52406406.807381004,69690.23477699955
208,9,2021-01-08,3.8321314821126737,3.436282044325484,77.82609474791606,52329685.887381,55689.30260699953
209,9,2021-01-15,3.8094903301867165,3.415979665821727,77.95710349851547,52640699.767381,55689.302606999525
210,9,2021-01-22,3.806155135642262,3.412988988393008,77.97640197200762,52686826.887381,80750.14265699952
211,9,2021-01-29,3.799846962195101,3.4073324332225625,78.0129030265732,52774292.947381,47262.336206999375
212,9,2021-02-05,3.788860666923214,3.397480994316393,78.07647314977156,52927318.887381,58278.23225699959
213,9,2021-02-12,10.237562196881305,9.180048053939458,40.76227936709197,19588084.827381004,74912.10590699944
214,9,2021-02-19,10.120175692383278,8.85630357579065,42.60771028147441,20304132.357381005,58466.242826999536
215,9,2021-02-26,10.121693323324624,8.857631675296144,42.59910368043121,20301087.987381,-38894.72214300036
216,9,2021-03-05,10.068263560061677,8.810874561801029,42.902107950909176,20408820.797381,-4183.777953000389
217,9,2021-03-12,10.068263560061677,8.810874561801029,42.902107950909176,20408820.797381,7558.256277000065
218,9,2021-03-19,9.9851102816961,8.738105995432951,43.37367654695581,20578779.897381,-5864.733153000337
