,Date,^GSPC,000001.SS,^FTSE,^GDAXI,^HSI,^TWII,^MERV,^ISEQ,^STI,^GSPTSE,^BSESN,^FCHI,^AEX,^KS11,^BVSP,^IBEX,BSX,0322.HK,^JKSE,^SET.BK,^AXJO,^BFX,^SSMI,^OMXSBCAPPI,^N225,IMOEX.ME,^ATX,^OMXHBCAPPI,^OSEAX,^N100,^BIT40P,JSE.JO
921,2020-08-09,3351.280029296875,3354.034912109375,6032.2001953125,12674.8798828125,24531.619140625,12828.8701171875,52325.828125,6278.259765625,2545.510009765625,16544.5,38040.5703125,4889.52001953125,559.5700073242188,2351.669921875,102776.0,6950.5,38.970001220703125,13.74917221069336,5143.89306640625,1324.4000244140625,6004.7998046875,3340.10009765625,10068.0302734375,686.2999877929688,22329.939453125,2972.35009765625,2194.929931640625,183.9199981689453,933.780029296875,972.9500122070312,1947.5809326171875,10981.43359375
354,2020-08-10,3360.469970703125,3379.251953125,6050.60009765625,12687.5302734375,24377.4296875,12894.0,52180.8984375,6288.5498046875,2545.510009765625,16605.5,38182.078125,4909.509765625,557.0800170898438,2386.3798828125,103444.0,7053.89990234375,38.97999954223633,13.430296897888184,5157.833984375,1322.010009765625,6110.2001953125,3355.27001953125,10090.91015625,687.4000244140625,22329.939453125,2960.780029296875,2224.1298828125,184.82000732421875,935.9299926757812,973.1099853515625,1960.0362548828125,10981.43359375
355,2020-08-11,3333.68994140625,3340.2900390625,6154.2998046875,12946.8896484375,24890.6796875,12780.1904296875,50998.5,6433.39990234375,2544.14990234375,16497.0,38407.01171875,5027.990234375,565.5599975585938,2418.669921875,102174.0,7263.5,39.310001373291016,13.374025344848633,5190.169921875,1336.8399658203125,6138.7001953125,3433.60009765625,10153.240234375,698.8800048828125,22750.240234375,3005.6298828125,2272.389892578125,186.4499969482422,951.6900024414062,993.7000122070312,2015.580322265625,11009.349609375
356,2020-08-12,3380.35009765625,3319.26611328125,6280.10009765625,13058.6298828125,25244.01953125,12670.349609375,48970.53125,6487.25,2563.199951171875,16575.30078125,38369.62890625,5073.31005859375,575.0599975585938,2432.35009765625,102118.0,7296.0,39.959999084472656,12.9613618850708,5233.4521484375,1336.8399658203125,6132.0,3466.8701171875,10278.66015625,700.22998046875,22843.9609375,3053.989990234375,2287.580078125,188.13999938964844,957.25,1005.7100219726562,2038.48291015625,11054.015625
357,2020-08-13,3373.429931640625,3320.72607421875,6185.60009765625,12993.7099609375,25230.669921875,12763.1298828125,49626.7890625,6457.27001953125,2595.969970703125,16530.099609375,38310.48828125,5042.3798828125,569.9500122070312,2437.530029296875,100461.0,7250.5,39.75,12.830060958862305,5239.25,1346.68994140625,6091.0,3447.139892578125,10260.1103515625,700.6599731445312,23249.609375,3080.43994140625,2268.739990234375,187.52000427246094,959.02001953125,999.2899780273438,2027.1728515625,11179.640625
358,2020-08-14,3372.85009765625,3360.09912109375,6090.0,12901.33984375,25183.009765625,12795.4599609375,48547.91015625,6380.31005859375,2581.320068359375,16514.599609375,37877.33984375,4962.93017578125,560.8400268554688,2407.489990234375,101353.0,7154.2998046875,39.15999984741211,12.773788452148438,5247.68994140625,1327.050048828125,6126.2001953125,3422.0,10163.599609375,688.0599975585938,23289.359375,3061.989990234375,2246.320068359375,185.94000244140625,950.9400024414062,984.469970703125,1999.8243408203125,11259.66796875
922,2020-08-15,3372.85009765625,3360.09912109375,6090.0,12901.33984375,25183.009765625,12795.4599609375,48547.91015625,6380.31005859375,2581.320068359375,16514.599609375,37877.33984375,4962.93017578125,560.8400268554688,2407.489990234375,101353.0,7154.2998046875,39.15999984741211,12.773788452148438,5247.68994140625,1327.050048828125,6126.2001953125,3422.0,10163.599609375,688.0599975585938,23289.359375,3061.989990234375,2246.320068359375,185.94000244140625,950.9400024414062,984.469970703125,1999.8243408203125,11259.66796875
923,2020-08-16,3372.85009765625,3360.09912109375,6090.0,12901.33984375,25183.009765625,12795.4599609375,48547.91015625,6380.31005859375,2581.320068359375,16514.599609375,37877.33984375,4962.93017578125,560.8400268554688,2407.489990234375,101353.0,7154.2998046875,39.15999984741211,12.773788452148438,5247.68994140625,1327.050048828125,6126.2001953125,3422.0,10163.599609375,688.0599975585938,23289.359375,3061.989990234375,2246.320068359375,185.94000244140625,950.9400024414062,984.469970703125,1999.8243408203125,11259.66796875
359,2020-08-17,3381.989990234375,3438.801025390625,6127.39990234375,12920.66015625,25347.33984375,12956.1103515625,48547.91015625,6346.7998046875,2571.550048828125,16656.099609375,38050.78125,4971.93994140625,562.9400024414062,2407.489990234375,99595.0,7090.10009765625,39.349998474121094,12.980119705200195,5247.68994140625,1320.9100341796875,6076.39990234375,3426.169921875,10228.0595703125,696.2100219726562,23096.75,3052.4599609375,2224.27001953125,187.47000122070312,950.5800170898438,986.2100219726562,1991.973876953125,10869.767578125
360,2020-08-18,3389.780029296875,3451.089111328125,6076.60009765625,12881.759765625,25367.380859375,12872.1396484375,46491.421875,6350.080078125,2563.090087890625,16626.099609375,38528.3203125,4938.06005859375,559.4400024414062,2348.239990234375,102065.0,7043.5,39.33000183105469,12.998876571655273,5295.173828125,1330.1099853515625,6123.39990234375,3393.239990234375,10168.400390625,690.219970703125,23051.080078125,3050.699951171875,2212.52001953125,187.11000061035156,944.72998046875,980.25,1977.41796875,11073.556640625
